Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Malik Cunningham (43727937),Malik Cunningham,43727937,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,DET,0.1,
WR,Tay Martin (43727939),Tay Martin,43727939,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,DET,1.4,
WR,Lucky Jackson (43727941),Lucky Jackson,43727941,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,DET,0,
WR,Tarik Black (43727943),Tarik Black,43727943,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,DET,0,
WR,Lawrence Keys III (43727945),Lawrence Keys III,43727945,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,DET,0,Q
WR,Kendrick Law (43727947),Kendrick Law,43727947,WR/FLEX,3000,NO@DET 09/13/2026 01:00PM ET,DET,0,IR
WR,Bo Melton (43727949),Bo Melton,43727949,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,GB,0.2,
WR,Skyy Moore (43727951),Skyy Moore,43727951,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,GB,0.8,
WR,Isaiah Neyor (43727953),Isaiah Neyor,43727953,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,GB,0,
WR,Will Sheppard (43727955),Will Sheppard,43727955,WR/FLEX,3000,MIA@LV 09/13/2026 04:25PM ET,MIA,0,
WR,Brenden Rice (43727957),Brenden Rice,43727957,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,GB,0,
WR,J. Michael Sturdivant (43727959),J. Michael Sturdivant,43727959,WR/FLEX,3000,GB@MIN 09/13/2026 04:25PM ET,GB,0,
WR,Bryce Oliver (43727961),Bryce Oliver,43727961,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,TEN,0.6,
WR,Mason Kinsey (43727963),Mason Kinsey,43727963,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,TEN,0.7,
WR,K.J. Osborn (43727965),K.J. Osborn,43727965,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,TEN,0,
WR,Xavier Restrepo (43727967),Xavier Restrepo,43727967,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,TEN,3.6,
WR,Lance McCutcheon (43727969),Lance McCutcheon,43727969,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,TEN,0,
WR,Courtney Jackson (43727971),Courtney Jackson,43727971,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,TEN,0,
WR,Tyren Montgomery (43727973),Tyren Montgomery,43727973,WR/FLEX,3000,NYJ@TEN 09/13/2026 01:00PM ET,TEN,0,
